app_pageview_id,app_session_id,pageview_url
1,1,/home-page
2,1,/search
3,1,/restaurants
4,1,/menu
5,1,/cart
6,1,/thank-you
7,2,/home-page
8,2,/search
9,2,/restaurants
10,2,/menu
11,2,/cart
12,2,/thank-you
13,3,/home-page
14,3,/search
15,3,/restaurants
16,3,/menu
17,3,/cart
18,3,/thank-you
19,4,/home-page
20,4,/search
21,4,/restaurants
22,4,/menu
23,4,/cart
24,4,/thank-you
25,5,/home-page
26,5,/search
27,5,/restaurants
28,5,/menu
29,5,/cart
30,5,/thank-you
31,6,/home-page
32,6,/search
33,6,/restaurants
34,6,/menu
35,6,/cart
36,6,/thank-you
37,7,/home-page
38,7,/search
39,7,/restaurants
40,7,/menu
41,7,/cart
42,7,/thank-you
43,8,/home-page
44,8,/search
45,8,/restaurants
46,8,/menu
47,8,/cart
48,8,/thank-you
49,9,/home-page
50,10,/home-page
51,10,/search
52,10,/restaurants
53,10,/menu
54,10,/cart
55,10,/thank-you
56,11,/home-page
57,11,/search
58,11,/restaurants
59,11,/menu
60,11,/cart
61,11,/thank-you
62,12,/home-page
63,12,/search
64,12,/restaurants
65,12,/menu
66,12,/cart
67,12,/thank-you
68,13,/home-page
69,14,/home-page
70,15,/home-page
71,15,/search
72,15,/restaurants
73,15,/menu
74,15,/cart
75,15,/thank-you
76,16,/home-page
77,16,/search
78,16,/restaurants
79,16,/menu
80,16,/cart
81,16,/thank-you
82,17,/home-page
83,18,/home-page
84,19,/home-page
85,19,/search
86,19,/restaurants
87,19,/menu
88,19,/cart
89,19,/thank-you
90,20,/home-page
91,20,/search
92,20,/restaurants
93,20,/menu
94,20,/cart
95,20,/thank-you
96,21,/home-page
97,21,/search
98,21,/restaurants
99,21,/menu
100,21,/cart
101,21,/thank-you
102,22,/home-page
103,22,/search
104,22,/restaurants
105,22,/menu
106,22,/cart
107,22,/thank-you
108,23,/home-page
109,24,/home-page
110,25,/home-page
111,25,/search
112,25,/restaurants
113,25,/menu
114,25,/cart
115,25,/thank-you
116,26,/home-page
117,27,/home-page
118,28,/home-page
119,28,/search
120,28,/restaurants
121,28,/menu
122,28,/cart
123,28,/thank-you
124,29,/home-page
125,30,/home-page
126,30,/search
127,30,/restaurants
128,30,/menu
129,30,/cart
130,30,/thank-you
131,31,/home-page
132,31,/search
133,31,/restaurants
134,31,/menu
135,31,/cart
136,31,/thank-you
137,32,/home-page
138,33,/home-page
139,34,/home-page
140,34,/search
141,34,/restaurants
142,34,/menu
143,34,/cart
144,34,/thank-you
145,35,/home-page
146,35,/search
147,35,/restaurants
148,35,/menu
149,35,/cart
150,35,/thank-you
151,36,/home-page
152,36,/search
153,36,/restaurants
154,36,/menu
155,36,/cart
156,36,/thank-you
157,37,/home-page
158,37,/search
159,37,/restaurants
160,37,/menu
161,37,/cart
162,37,/thank-you
163,38,/home-page
164,38,/search
165,38,/restaurants
166,38,/menu
167,38,/cart
168,38,/thank-you
169,39,/home-page
170,40,/home-page
171,41,/home-page
172,42,/home-page
173,42,/search
174,42,/restaurants
175,42,/menu
176,42,/cart
177,42,/thank-you
178,43,/home-page
179,43,/search
180,43,/restaurants
181,43,/menu
182,43,/cart
183,43,/thank-you
184,44,/home-page
185,44,/search
186,44,/restaurants
187,44,/menu
188,44,/cart
189,44,/thank-you
190,45,/home-page
191,46,/home-page
192,47,/home-page
193,47,/search
194,47,/restaurants
195,47,/menu
196,47,/cart
197,47,/thank-you
198,48,/home-page
199,48,/search
200,48,/restaurants
201,48,/menu
202,48,/cart
203,48,/thank-you
204,49,/home-page
205,50,/home-page
206,50,/search
207,50,/restaurants
208,50,/menu
209,50,/cart
210,50,/thank-you
211,51,/home-page
212,51,/search
213,51,/restaurants
214,51,/menu
215,51,/cart
216,51,/thank-you
217,52,/home-page
218,53,/home-page
219,53,/search
220,53,/restaurants
221,53,/menu
222,53,/cart
223,53,/thank-you
224,54,/home-page
225,54,/search
226,54,/restaurants
227,54,/menu
228,54,/cart
229,54,/thank-you
230,55,/home-page
231,55,/search
232,55,/restaurants
233,55,/menu
234,55,/cart
235,55,/thank-you
236,56,/home-page
237,57,/home-page
238,57,/search
239,57,/restaurants
240,57,/menu
241,57,/cart
242,57,/thank-you
243,58,/home-page
244,58,/search
245,58,/restaurants
246,58,/menu
247,58,/cart
248,58,/thank-you
249,59,/home-page
250,60,/home-page
251,61,/home-page
252,61,/search
253,61,/restaurants
254,61,/menu
255,61,/cart
256,61,/thank-you
257,62,/home-page
258,62,/search
259,62,/restaurants
260,62,/menu
261,62,/cart
262,62,/thank-you
263,63,/home-page
264,64,/home-page
265,65,/home-page
266,65,/search
267,65,/restaurants
268,65,/menu
269,65,/cart
270,65,/thank-you
271,66,/home-page
272,66,/search
273,66,/restaurants
274,66,/menu
275,66,/cart
276,66,/thank-you
277,67,/home-page
278,67,/search
279,67,/restaurants
280,67,/menu
281,67,/cart
282,67,/thank-you
283,68,/home-page
284,68,/search
285,68,/restaurants
286,68,/menu
287,68,/cart
288,68,/thank-you
289,69,/home-page
290,69,/search
291,69,/restaurants
292,69,/menu
293,69,/cart
294,69,/thank-you
295,70,/home-page
296,71,/home-page
297,71,/search
298,71,/restaurants
299,71,/menu
300,71,/cart
301,71,/thank-you
302,72,/home-page
303,72,/search
304,72,/restaurants
305,72,/menu
306,72,/cart
307,72,/thank-you
308,73,/home-page
309,73,/search
310,73,/restaurants
311,73,/menu
312,73,/cart
313,73,/thank-you
314,74,/home-page
315,74,/search
316,74,/restaurants
317,74,/menu
318,74,/cart
319,74,/thank-you
320,75,/home-page
321,76,/home-page
322,77,/home-page
323,77,/search
324,77,/restaurants
325,77,/menu
326,77,/cart
327,77,/thank-you
328,78,/home-page
329,78,/search
330,78,/restaurants
331,78,/menu
332,78,/cart
333,78,/thank-you
334,79,/home-page
335,79,/search
336,79,/restaurants
337,79,/menu
338,79,/cart
339,79,/thank-you
340,80,/home-page
341,80,/search
342,80,/restaurants
343,80,/menu
344,80,/cart
345,80,/thank-you
346,81,/home-page
347,81,/search
348,81,/restaurants
349,81,/menu
350,81,/cart
351,81,/thank-you
352,82,/home-page
353,82,/search
354,82,/restaurants
355,82,/menu
356,82,/cart
357,82,/thank-you
358,83,/home-page
359,83,/search
360,83,/restaurants
361,83,/menu
362,83,/cart
363,83,/thank-you
364,84,/home-page
365,85,/home-page
366,85,/search
367,85,/restaurants
368,85,/menu
369,85,/cart
370,85,/thank-you
371,86,/home-page
372,86,/search
373,86,/restaurants
374,86,/menu
375,86,/cart
376,86,/thank-you
377,87,/home-page
378,87,/search
379,87,/restaurants
380,87,/menu
381,87,/cart
382,87,/thank-you
383,88,/home-page
384,88,/search
385,88,/restaurants
386,88,/menu
387,88,/cart
388,88,/thank-you
389,89,/home-page
390,89,/search
391,89,/restaurants
392,89,/menu
393,89,/cart
394,89,/thank-you
395,90,/home-page
396,90,/search
397,90,/restaurants
398,90,/menu
399,90,/cart
400,90,/thank-you
401,91,/home-page
402,91,/search
403,91,/restaurants
404,91,/menu
405,91,/cart
406,91,/thank-you
407,92,/home-page
408,93,/home-page
409,94,/home-page
410,94,/search
411,94,/restaurants
412,94,/menu
413,94,/cart
414,94,/thank-you
415,95,/home-page
416,95,/search
417,95,/restaurants
418,95,/menu
419,95,/cart
420,95,/thank-you
421,96,/home-page
422,96,/search
423,96,/restaurants
424,96,/menu
